flight_number,rocket_type,launch_success,outcome_category,outcome_encoded,launch_datetime,launch_year,launch_month,launch_day_of_week,launch_hour,launch_quarter,days_since_previous_launch,years_since_first_launch,rocket_type_encoded,launch_site_encoded,orbit_encoded,rocket_config_encoded,launch_time_encoded,payload_mass_kg,payload_count,payload_complexity,payload_mass_normalized,is_multi_payload,payload_risk_score,experience_index,configuration_maturity,launch_frequency,is_monsoon_season
C20,PSLV,1,Success,2,2013-02-25 12:31:00,2013.0,2.0,0.0,12.0,1.0,169.0,19.433,0,0,3,3,1,666.3,1,0.495,0.278,0,0.281,23,9.0,1.0,0
C22,PSLV,1,Success,2,2013-07-01 18:11:00,2013.0,7.0,0.0,18.0,3.0,126.0,19.778,0,0,3,7,2,1425.0,1,0.717,0.595,0,0.465,24,4.0,2.0,1
C25,PSLV,1,Success,2,2013-11-05 09:08:00,2013.0,11.0,1.0,9.0,4.0,126.0,20.126,0,0,3,7,0,1350.0,1,0.695,0.564,0,0.447,25,5.0,3.0,0
D5,GSLV,1,Success,2,2014-01-05 10:48:00,2014.0,1.0,6.0,10.0,1.0,1107.0,20.293,1,2,0,2,0,1980.0,1,0.879,0.827,0,0.6,8,2.0,1.0,0
C24,PSLV,1,Success,2,2014-04-04 11:44:00,2014.0,4.0,4.0,11.0,2.0,150.0,20.537,0,0,3,7,0,1432.0,1,0.719,0.598,0,0.467,26,6.0,1.0,0
C23,PSLV,1,Success,2,2014-06-30 04:22:00,2014.0,6.0,0.0,4.0,2.0,86.0,20.772,0,0,3,3,3,765.0,1,0.524,0.32,0,0.305,27,10.0,2.0,1
C26,PSLV,1,Success,2,2014-10-16 20:02:00,2014.0,10.0,3.0,20.0,4.0,108.0,21.07,0,0,3,7,2,1425.4,1,0.717,0.596,0,0.465,28,7.0,3.0,0
LVM3-X,LVM3,1,Success,2,2014-12-18 04:00:00,2014.0,12.0,3.0,4.0,4.0,0.0,21.24,2,1,3,-1,3,1250.0,3,1.266,0.522,1,0.963,1,,1.0,0
C27,PSLV,1,Success,2,2015-03-28 11:49:00,2015.0,3.0,5.0,11.0,1.0,162.0,21.517,0,2,3,7,0,1425.0,1,0.717,0.595,0,0.465,29,8.0,1.0,0
C28,PSLV,1,Success,2,2015-07-10 16:28:00,2015.0,7.0,4.0,16.0,3.0,104.0,21.802,0,0,3,7,1,1439.0,1,0.721,0.601,0,0.469,30,9.0,2.0,1
D6,GSLV,1,Success,2,2015-08-27 11:22:00,2015.0,8.0,3.0,11.0,3.0,599.0,21.933,1,2,0,2,0,2117.0,1,0.919,0.885,0,0.633,9,3.0,1.0,1
C30,PSLV,1,Success,2,2015-09-28 04:30:00,2015.0,9.0,0.0,4.0,3.0,79.0,22.018,0,0,3,7,3,1739.5,1,0.809,0.727,0,0.542,31,10.0,3.0,1
